,sentence1,sentence21,sentence22,pronoun,referent1,wrong_referent1,referent2,wrong_referent2
2267,The sniper executed the terrorist,He was a brutal guy,He was a notorious money launderer,He,terrorist,sniper,terrorist,sniper
2268,The birds worked hard for the seeds,They were determined to eat them,They were finding food others missed,They,birds,seeds,birds,seeds
2269,The sniper eliminated the terrorist,He was a winning sharpshooter,He was a brutal bomb maker,He,sniper,terrorist,terrorist,sniper
2270,The sniper neutralized the terrorist,He was a winning assassin,He was a winning marksman,He,sniper,terrorist,sniper,terrorist
2271,The sniper took out the terrorist,He was a winning marksman,He was a notorious guy,He,sniper,terrorist,terrorist,sniper
2272,The sniper executed the terrorist,He was a dangerous bomb maker,He was a ruthless war criminal,He,terrorist,sniper,terrorist,sniper
2273,The sailors left the equipped boats,They were handling the rough seas,They were tipping over,They,sailors,boats,boats,sailors
2274,The sniper eliminated the terrorist,He was a notorious human rights abuser,He was a notorious drug lord,He,terrorist,sniper,terrorist,sniper
2275,The sniper took down the terrorist,He was a ruthless warmonger,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
2276,The storm affected the scheduled flight,It was bringing high winds,It was creating dangerous conditions,It,storm,flight,storm,flight
2277,The sniper took out the terrorist,He was a precise marksman,He was a ruthless human trafficker,He,sniper,terrorist,terrorist,sniper
2278,The eager bee ventured to the flower,It was ready for another journey,It was rich with nectar,It,bee,flower,flower,bee
2279,The sniper executed the terrorist,He was a precise assassin,He was a notorious bomb maker,He,sniper,terrorist,terrorist,sniper
2280,The sniper took out the terrorist,He was a ruthless drug lord,He was a dangerous human trafficker,He,terrorist,sniper,terrorist,sniper
2281,The resourceful sniper assassinated the terrorist,He was a talented assassin,He was a top killer,He,sniper,terrorist,sniper,terrorist
2282,The sniper took aim the terrorist,He was a dangerous bomb maker,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
2283,The sniper fired the terrorist,He was a ruthless criminal,He was a brutal killer,He,terrorist,sniper,terrorist,sniper
2284,The sniper took aim the terrorist,He was a winning sharpshooter,He was a dangerous murderer,He,sniper,terrorist,terrorist,sniper
2285,The sniper took aim the terrorist,He was a brutal arms dealer,He was a brutal dealer,He,terrorist,sniper,terrorist,sniper
2286,The sniper eliminated the terrorist,He was a ruthless warlord,He was a notorious bomber,He,terrorist,sniper,terrorist,sniper
2287,The students learned from the books,They were pushing themselves to succeed,They were setting their goals,They,students,books,students,books
2288,The accurate sniper neutralized the terrorist,He was a dangerous human rights violator,He was a veteran assassin,He,terrorist,sniper,sniper,terrorist
2289,The sniper took aim the terrorist,He was a ruthless warmonger,He was a brutal launderer,He,terrorist,sniper,terrorist,sniper
2290,The people led a rally against the government,They were fighting for their future,They were promoting unity,They,people,government,people,government
2291,The sniper took aim the terrorist,He was a dangerous bomber,He was a accurate killer,He,terrorist,sniper,sniper,terrorist
2292,The sniper targeted the terrorist,He was a ruthless launderer,He was a precise assassin,He,terrorist,sniper,sniper,terrorist
2293,The accurate sniper took aim the terrorist,He was a talented killer,He was a veteran shooter,He,sniper,terrorist,sniper,terrorist
2294,The activist people formed a human chain against the government,They were making a statement,They were promoting unity,They,people,government,people,government
2295,The sniper eliminated the terrorist,He was a notorious drug lord,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
2296,The sniper neutralized the terrorist,He was a accurate sharpshooter,He was a accurate marksman,He,sniper,terrorist,sniper,terrorist
2297,The sniper executed the terrorist,He was a dangerous killer,He was a notorious cyber criminal,He,terrorist,sniper,terrorist,sniper
2298,The sniper fired the terrorist,He was a resourceful shooter,He was a resourceful killer,He,sniper,terrorist,sniper,terrorist
2299,The sniper killed the terrorist,He was a dangerous launderer,He was a ruthless killer,He,terrorist,sniper,terrorist,sniper
2300,The precise sniper fired the terrorist,He was a dangerous drug lord,He was a top marksman,He,terrorist,sniper,sniper,terrorist
2301,The storm overwhelmed the flight,It was making road conditions hazardous,It was creating dangerous conditions,It,storm,flight,storm,flight
2302,The knife scratched the fence quickly,It was blocking the entrance,It was flimsy and weak,It,fence,knife,fence,knife
2303,The winning sniper eliminated the terrorist,He was a top assassin,He was a top killer,He,sniper,terrorist,sniper,terrorist
2304,The people took to the street against the government,They were accepting bribes,They were fighting for their beliefs,They,government,people,people,government
2305,The sniper took out the terrorist,He was a ruthless launderer,He was a notorious money launderer,He,terrorist,sniper,terrorist,sniper
2306,The sniper killed the terrorist,He was a ruthless warlord,He was a brutal extremist,He,terrorist,sniper,terrorist,sniper
2307,The storm threatened the scheduled flight,It was making road conditions hazardous,It was bringing high winds,It,storm,flight,storm,flight
2308,The heart circulated blood with care,It was a powerful organ,It was a unswerving organ,It,heart,blood,heart,blood
2309,The accurate sniper fired the terrorist,He was a dangerous human trafficker,He was a talented shooter,He,terrorist,sniper,sniper,terrorist
2310,The sniper fired the terrorist,He was a brutal bomb maker,He was a notorious bomb maker,He,terrorist,sniper,terrorist,sniper
2311,The storm impacted the morning flight,It was causing flash floods,It was headed for Europe,It,storm,flight,flight,storm
2312,The sniper fired the terrorist,He was a winning sharpshooter,He was a brutal dealer,He,sniper,terrorist,terrorist,sniper
2313,The sniper assassinated the brutal terrorist,He was a vicious dealer,He was a barbaric extremist,He,terrorist,sniper,terrorist,sniper
2314,The sniper neutralized the terrorist,He was a brutal arms dealer,He was a brutal human rights abuser,He,terrorist,sniper,terrorist,sniper
2315,The sniper eliminated the terrorist,He was a ruthless dealer,He was a notorious money launderer,He,terrorist,sniper,terrorist,sniper
2316,The sniper eliminated the terrorist,He was a brutal militant,He was a brutal guy,He,terrorist,sniper,terrorist,sniper
2317,The sniper eliminated the terrorist,He was a accurate sharpshooter,He was a dangerous cyber criminal,He,sniper,terrorist,terrorist,sniper
2318,The sniper took aim the terrorist,He was a resourceful killer,He was a brutal dealer,He,sniper,terrorist,terrorist,sniper
2319,The fierce storm overwhelmed the flight,It was flying to Hawaii,It was carrying important documents,It,flight,storm,flight,storm
2320,The sniper assassinated the terrorist,He was a dangerous guy,He was a accurate killer,He,terrorist,sniper,sniper,terrorist
2321,The sniper killed the terrorist,He was a precise shooter,He was a accurate shooter,He,sniper,terrorist,sniper,terrorist
2322,The sniper killed the terrorist,He was a resourceful assassin,He was a ruthless insurgent,He,sniper,terrorist,terrorist,sniper
2323,The busy birds chose the seeds,They were a irresistible treat,They were an exciting treat,They,seeds,birds,seeds,birds
2324,The sniper eliminated the terrorist,He was a dangerous murderer,He was a notorious warlord,He,terrorist,sniper,terrorist,sniper
2325,The accurate sniper eliminated the terrorist,He was a successful marksman,He was a brutal militant,He,sniper,terrorist,terrorist,sniper
2326,The winning sniper targeted the terrorist,He was a successful sharpshooter,He was a talented killer,He,sniper,terrorist,sniper,terrorist
2327,The accurate sniper neutralized the terrorist,He was a dangerous human rights violator,He was a dangerous killer,He,terrorist,sniper,terrorist,sniper
2328,The sniper took down the terrorist,He was a brutal murderer,He was a dangerous bomb maker,He,terrorist,sniper,terrorist,sniper
2329,The sniper eliminated the terrorist,He was a winning marksman,He was a dangerous cyber criminal,He,sniper,terrorist,terrorist,sniper
2330,The sniper eliminated the terrorist,He was a ruthless drug lord,He was a ruthless bomber,He,terrorist,sniper,terrorist,sniper
2331,The activist people held a hunger strike against the government,They were seeking reform,They were standing their ground,They,people,government,people,government
2332,The sniper assassinated the terrorist,He was a notorious insurgent,He was a notorious dictator,He,terrorist,sniper,terrorist,sniper
2333,The people held a vigil against the government,They were perpetuating corruption,They were blocking free speech,They,government,people,government,people
2334,The resourceful sniper eliminated the terrorist,He was a dangerous guy,He was a successful assassin,He,terrorist,sniper,sniper,terrorist
2335,The people formed a human chain against the government,They were fighting for freedom,They were not backing down,They,people,government,people,government
2336,The heart pushed blood that reduced inflammation,It was a life-enriching liquid,It was a skin-nourshing fluid,It,blood,heart,blood,heart
2337,The sniper took out the terrorist,He was a notorious assassin,He was a winning marksman,He,terrorist,sniper,sniper,terrorist
2338,The sniper took down the terrorist,He was a ruthless human rights violator,He was a dangerous guy,He,terrorist,sniper,terrorist,sniper
2339,The storm suspended the international flight,It was carrying a VIP,It was bringing high winds,It,flight,storm,storm,flight
2340,The sniper neutralized the terrorist,He was a notorious cyber criminal,He was a winning killer,He,terrorist,sniper,sniper,terrorist
2341,The sniper executed the terrorist,He was a ruthless assassin,He was a notorious bomb maker,He,terrorist,sniper,terrorist,sniper
2342,The sniper executed the terrorist,He was a dangerous cyber criminal,He was a precise shooter,He,terrorist,sniper,sniper,terrorist
2343,The sniper took out the terrorist,He was a precise shooter,He was a brutal bomber,He,sniper,terrorist,terrorist,sniper
2344,The sniper fired the terrorist,He was a ruthless human rights violator,He was a brutal killer,He,terrorist,sniper,terrorist,sniper
2345,The sniper assassinated the terrorist,He was a brutal dictator,He was a brutal money launderer,He,terrorist,sniper,terrorist,sniper
2346,The sniper assassinated the terrorist,He was a notorious launderer,He was a brutal combatant,He,terrorist,sniper,terrorist,sniper
2347,The sniper killed the terrorist,He was a resourceful marksman,He was a accurate assassin,He,sniper,terrorist,sniper,terrorist
2348,The accurate sniper killed the terrorist,He was a veteran shooter,He was a talented marksman,He,sniper,terrorist,sniper,terrorist
2349,The accurate sniper targeted the terrorist,He was a veteran killer,He was a ruthless cyber criminal,He,sniper,terrorist,terrorist,sniper
2350,The sailors plunged off the boats,They were not safe,They were having technical problems,They,boats,sailors,boats,sailors
2351,The sniper executed the terrorist,He was a ruthless bomber,He was a winning killer,He,terrorist,sniper,sniper,terrorist
2352,The sniper took down the terrorist,He was a brutal militant,He was a notorious insurgent,He,terrorist,sniper,terrorist,sniper
2353,The sailors sprang from the boats,They were experiencing mechanical failure,They were not being cautious,They,boats,sailors,sailors,boats
2354,The sailors dived off the unprotected boats,They were not secured,They were facing a storm,They,boats,sailors,sailors,boats
2355,The sniper assassinated the terrorist,He was a dangerous war criminal,He was a brutal human rights abuser,He,terrorist,sniper,terrorist,sniper
2356,The sniper neutralized the terrorist,He was a brutal bomb maker,He was a notorious murderer,He,terrorist,sniper,terrorist,sniper
2357,The sniper eliminated the terrorist,He was a dangerous insurgent,He was a precise assassin,He,terrorist,sniper,sniper,terrorist
2358,The sniper neutralized the terrorist,He was a dangerous arms smuggler,He was a winning shooter,He,terrorist,sniper,sniper,terrorist
2359,The birds worked on the seeds,They were exploring the new tastes,They were expanding their palate,They,birds,seeds,birds,seeds
2360,The storm impacted the international flight,It was putting travelers in danger,It was causing flash floods,It,storm,flight,storm,flight
2361,The bee worked on the abundant flower,It was making pollen,It was determined to succeed,It,flower,bee,bee,flower
2362,The sniper eliminated the terrorist,He was a dangerous money launderer,He was a accurate marksman,He,terrorist,sniper,sniper,terrorist
2363,The sniper fired the terrorist,He was a notorious criminal,He was a ruthless human rights violator,He,terrorist,sniper,terrorist,sniper
2364,The sniper fired the terrorist,He was a dangerous arms smuggler,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
2365,The precise sniper took down the terrorist,He was a brutal combatant,He was a top killer,He,terrorist,sniper,sniper,terrorist
2366,The sniper targeted the terrorist,He was a resourceful shooter,He was a brutal criminal,He,sniper,terrorist,terrorist,sniper
2367,The sniper eliminated the terrorist,He was a brutal human trafficker,He was a accurate marksman,He,terrorist,sniper,sniper,terrorist
2368,The sniper took aim the terrorist,He was a notorious combatant,He was a dangerous guy,He,terrorist,sniper,terrorist,sniper
2369,The resourceful sailors jumped from the boats,They were having technical problems,They were not trained,They,boats,sailors,sailors,boats
2370,The sniper eliminated the terrorist,He was a dangerous arms dealer,He was a precise sharpshooter,He,terrorist,sniper,sniper,terrorist
2371,The precise sniper took aim the terrorist,He was a notorious money launderer,He was a notorious arms smuggler,He,terrorist,sniper,terrorist,sniper
2372,The precise sniper eliminated the terrorist,He was a brutal militant,He was a top shooter,He,terrorist,sniper,sniper,terrorist
2373,The people took to the streets against the government,They were risking their safety,They were engaging in torture,They,people,government,government,people
2374,The sniper neutralized the terrorist,He was a brutal insurgent,He was a ruthless human rights violator,He,terrorist,sniper,terrorist,sniper
2375,The precise sniper assassinated the dangerous terrorist,He was a top shooter,He was a violent arms dealer,He,sniper,terrorist,terrorist,sniper
2376,The sniper took down the terrorist,He was a brutal warlord,He was a precise killer,He,terrorist,sniper,sniper,terrorist
2377,The sniper assassinated the terrorist,He was a brutal dictator,He was a dangerous human rights abuser,He,terrorist,sniper,terrorist,sniper
2378,The storm impacted the international flight,It was making road conditions hazardous,It was carrying essential supplies,It,storm,flight,flight,storm
2379,The winning sniper fired the terrorist,He was a successful marksman,He was a veteran assassin,He,sniper,terrorist,sniper,terrorist
2380,The sniper took aim the terrorist,He was a dangerous warmonger,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
2381,The sailors jumped off the boats,They were not following safety procedures,They were facing the storm,They,sailors,boats,sailors,boats
2382,The sniper executed the terrorist,He was a brutal extremist,He was a precise marksman,He,terrorist,sniper,sniper,terrorist
2383,The sniper took aim the terrorist,He was a notorious murderer,He was a notorious warlord,He,terrorist,sniper,terrorist,sniper
2384,The sniper fired the terrorist,He was a ruthless militant,He was a precise shooter,He,terrorist,sniper,sniper,terrorist
2385,The sniper took down the terrorist,He was a brutal money launderer,He was a accurate marksman,He,terrorist,sniper,sniper,terrorist
2386,The sniper took down the terrorist,He was a ruthless arms dealer,He was a brutal human trafficker,He,terrorist,sniper,terrorist,sniper
2387,The people took to the streets against the government,They were fighting for freedom,They were taking bribes,They,people,government,government,people
2388,The accurate sniper neutralized the terrorist,He was a brutal arms dealer,He was a successful sharpshooter,He,terrorist,sniper,sniper,terrorist
2389,The sailors escaped off the unsound boats,They were overworked,They were testing their limits,They,sailors,boats,sailors,boats
2390,The sniper executed the terrorist,He was a ruthless bomber,He was a winning assassin,He,terrorist,sniper,sniper,terrorist
2391,The sniper fired the terrorist,He was a brutal insurgent,He was a accurate shooter,He,terrorist,sniper,sniper,terrorist
2392,The sailors dived off the boats,They were breaking apart,They were not properly operated,They,boats,sailors,boats,sailors
2393,The accurate sniper took aim the terrorist,He was a veteran marksman,He was a brutal criminal,He,sniper,terrorist,terrorist,sniper
2394,The sniper neutralized the terrorist,He was a ruthless combatant,He was a dangerous militant,He,terrorist,sniper,terrorist,sniper
2395,The sniper executed the terrorist,He was a notorious militant,He was a accurate sharpshooter,He,terrorist,sniper,sniper,terrorist
2396,The storm shattered the flight,It was bringing high winds,It was creating dangerous conditions,It,storm,flight,storm,flight
2397,The sniper eliminated the terrorist,He was a brutal combatant,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
2398,The sniper neutralized the terrorist,He was a brutal human rights abuser,He was a dangerous launderer,He,terrorist,sniper,terrorist,sniper
2399,The sniper killed the terrorist,He was a dangerous launderer,He was a ruthless warlord,He,terrorist,sniper,terrorist,sniper
2400,The sniper executed the terrorist,He was a ruthless cyber criminal,He was a notorious guy,He,terrorist,sniper,terrorist,sniper
2401,The sniper assassinated the terrorist,He was a precise shooter,He was a precise sharpshooter,He,sniper,terrorist,sniper,terrorist
2402,The sniper executed the terrorist,He was a resourceful assassin,He was a resourceful shooter,He,sniper,terrorist,sniper,terrorist
2403,The sniper took aim the terrorist,He was a winning assassin,He was a ruthless human rights violator,He,sniper,terrorist,terrorist,sniper
2404,The sniper took down the terrorist,He was a winning killer,He was a accurate assassin,He,sniper,terrorist,sniper,terrorist
2405,The birds worked hard for the seeds,They were a flavorful food,They were fearless,They,seeds,birds,birds,seeds
2406,The sniper assassinated the terrorist,He was a ruthless assassin,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
2407,The sniper assassinated the terrorist,He was a notorious human rights violator,He was a accurate sharpshooter,He,terrorist,sniper,sniper,terrorist
2408,The accurate sniper executed the terrorist,He was a talented shooter,He was a successful assassin,He,sniper,terrorist,sniper,terrorist
2409,The students perused the books,They were filled with knowledge,They were convincing,They,books,students,books,students
2410,The sniper eliminated the terrorist,He was a dangerous cyber criminal,He was a precise shooter,He,terrorist,sniper,sniper,terrorist
2411,The ferocious storm ruined the flight,It was carrying cargo,It was flying to Hawaii,It,flight,storm,flight,storm
2412,The sniper killed the terrorist,He was a ruthless dictator,He was a precise shooter,He,terrorist,sniper,sniper,terrorist
2413,The sniper took down the terrorist,He was a notorious launderer,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
2414,The sniper killed the terrorist,He was a resourceful assassin,He was a ruthless warmonger,He,sniper,terrorist,terrorist,sniper
2415,The heart pumped blood with resilience,It was a indomitable muscle,It was a formidable muscle,It,heart,blood,heart,blood
2416,The storm ruined the scheduled flight,It was putting lives in peril,It was producing tornadoes,It,storm,flight,storm,flight
2417,The determined birds snatched the seeds,They were crunchy,They were a new experience,They,seeds,birds,seeds,birds
2418,The sniper took down the terrorist,He was a brutal drug lord,He was a ruthless human rights violator,He,terrorist,sniper,terrorist,sniper
2419,The sniper targeted the terrorist,He was a dangerous arms smuggler,He was a notorious criminal,He,terrorist,sniper,terrorist,sniper
2420,The sniper killed the terrorist,He was a winning marksman,He was a precise marksman,He,sniper,terrorist,sniper,terrorist
2421,The people rallied together against the government,They were perpetuating corruption,They were seeking representation,They,government,people,people,government
2422,The resourceful sniper fired the terrorist,He was a veteran assassin,He was a successful assassin,He,sniper,terrorist,sniper,terrorist
2423,The sniper took out the terrorist,He was a dangerous criminal,He was a precise killer,He,terrorist,sniper,sniper,terrorist
2424,The people organized a flash mob against the government,They were engaging in nepotism,They were engaging in bribery,They,government,people,government,people
2425,The sailors tumbled off the treacherous boats,They were facing their fears,They were trying to survive,They,sailors,boats,sailors,boats
2426,The precise sniper executed the terrorist,He was a talented killer,He was a top shooter,He,sniper,terrorist,sniper,terrorist
2427,The precise sniper executed the terrorist,He was a talented assassin,He was a veteran killer,He,sniper,terrorist,sniper,terrorist
2428,The resourceful sniper eliminated the terrorist,He was a successful sharpshooter,He was a notorious killer,He,sniper,terrorist,terrorist,sniper
2429,The students reinterpreted the books,They were well-written,They were covering advanced topics,They,books,students,books,students
2430,The resourceful sniper took out the terrorist,He was a talented assassin,He was a top sharpshooter,He,sniper,terrorist,sniper,terrorist
2431,The sniper eliminated the terrorist,He was a accurate assassin,He was a accurate killer,He,sniper,terrorist,sniper,terrorist
2432,The sniper fired the terrorist,He was a precise shooter,He was a notorious human trafficker,He,sniper,terrorist,terrorist,sniper
2433,The resourceful sniper fired the terrorist,He was a top shooter,He was a brutal killer,He,sniper,terrorist,terrorist,sniper
2434,The sniper eliminated the terrorist,He was a accurate marksman,He was a winning assassin,He,sniper,terrorist,sniper,terrorist
2435,The accurate sniper neutralized the terrorist,He was a veteran shooter,He was a brutal drug lord,He,sniper,terrorist,terrorist,sniper
2436,The sniper took out the terrorist,He was a winning sharpshooter,He was a notorious criminal,He,sniper,terrorist,terrorist,sniper
2437,The sniper eliminated the terrorist,He was a accurate marksman,He was a resourceful assassin,He,sniper,terrorist,sniper,terrorist
2438,The sniper took down the terrorist,He was a brutal drug lord,He was a brutal assassin,He,terrorist,sniper,terrorist,sniper
2439,The storm made the scheduled flight,It was putting travelers in danger,It was making road conditions hazardous,It,storm,flight,storm,flight
2440,The people organized a flash mob against the government,They were denying fair trials,They were showing solidarity,They,government,people,people,government
2441,The sniper neutralized the terrorist,He was a notorious warmonger,He was a dangerous human trafficker,He,terrorist,sniper,terrorist,sniper
2442,The people started a march against the government,They were spreading awareness,They were showing solidarity,They,people,government,people,government
2443,The sniper fired the terrorist,He was a notorious criminal,He was a brutal murderer,He,terrorist,sniper,terrorist,sniper
2444,The efficient bee sipped nectar from the flower,It was filled with pollen,It was producing nectar,It,flower,bee,flower,bee
2445,The students read through the books,They were boring,They were outdated,They,books,students,books,students
2446,The powerful storm threatened the flight,It was putting travelers in danger,It was making road conditions hazardous,It,storm,flight,storm,flight
2447,The storm made the scheduled flight,It was causing flash floods,It was bringing high winds,It,storm,flight,storm,flight
2448,The sailors slid off the equipped boats,They were battling the storm,They were causing accidents,They,sailors,boats,boats,sailors
2449,The students read through the books,They were pushing themselves to succeed,They were stimulating their intellect,They,students,books,students,books
2450,The sailors escaped from the safe boats,They were capsizing,They were facing their fears,They,boats,sailors,sailors,boats
2451,The storm caused trouble for the international flight,It was putting lives in peril,It was making road conditions hazardous,It,storm,flight,storm,flight
2452,The storm confused the scheduled flight,It was full of passengers,It was producing tornadoes,It,flight,storm,storm,flight
2453,The sniper assassinated the terrorist,He was a dangerous criminal,He was a precise marksman,He,terrorist,sniper,sniper,terrorist
2454,The sniper took out the terrorist,He was a notorious insurgent,He was a dangerous human trafficker,He,terrorist,sniper,terrorist,sniper
2455,The sailors jumped off the boats,They were in poor condition,They were ignoring the warnings,They,boats,sailors,sailors,boats
2456,The sniper executed the terrorist,He was a resourceful killer,He was a brutal drug lord,He,sniper,terrorist,terrorist,sniper
2457,The sniper killed the terrorist,He was a precise assassin,He was a accurate assassin,He,sniper,terrorist,sniper,terrorist
2458,The sniper eliminated the terrorist,He was a winning shooter,He was a resourceful assassin,He,sniper,terrorist,sniper,terrorist
2459,The storm frightened the commercial flight,It was making road conditions hazardous,It was putting travelers in danger,It,storm,flight,storm,flight
2460,The sniper targeted the terrorist,He was a notorious warmonger,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
2461,The sniper targeted the terrorist,He was a dangerous guy,He was a brutal money launderer,He,terrorist,sniper,terrorist,sniper
2462,The sniper assassinated the terrorist,He was a notorious cyber criminal,He was a ruthless warlord,He,terrorist,sniper,terrorist,sniper
2463,The bee explored the flower,It was rich with nectar,It was gathering pollen,It,flower,bee,bee,flower
2464,The storm caused trouble for the commercial flight,It was producing tornadoes,It was carrying cargo,It,storm,flight,flight,storm
2465,The storm threatened the morning flight,It was bringing high winds,It was carrying important documents,It,storm,flight,flight,storm
2466,The sniper took aim the terrorist,He was a ruthless extremist,He was a brutal arms smuggler,He,terrorist,sniper,terrorist,sniper
2467,The sailors jumped off the boats,They were in poor condition,They were malfunctioning,They,boats,sailors,boats,sailors
2468,The people took to the street against the government,They were sending a message,They were promoting transparency,They,people,government,people,government
2469,The sniper neutralized the terrorist,He was a dangerous militant,He was a winning assassin,He,terrorist,sniper,sniper,terrorist
2470,The sniper took down the terrorist,He was a brutal guy,He was a precise sharpshooter,He,terrorist,sniper,sniper,terrorist
2471,The sniper took out the terrorist,He was a brutal combatant,He was a ruthless bomber,He,terrorist,sniper,terrorist,sniper
2472,The sniper eliminated the terrorist,He was a brutal dealer,He was a ruthless cyber criminal,He,terrorist,sniper,terrorist,sniper
2473,The winning sniper killed the terrorist,He was a veteran marksman,He was a top killer,He,sniper,terrorist,sniper,terrorist
2474,The precise sniper took aim the terrorist,He was a top killer,He was a successful marksman,He,sniper,terrorist,sniper,terrorist
2475,The bee hovered above the flower,It was in full bloom,It was gathering food,It,flower,bee,bee,flower
2476,The sniper took down the terrorist,He was a dangerous killer,He was a notorious criminal,He,terrorist,sniper,terrorist,sniper
2477,The sniper killed the terrorist,He was a dangerous killer,He was a dangerous murderer,He,terrorist,sniper,terrorist,sniper
2478,The birds tried the seeds,They were a fun food,They were a refreshing food,They,seeds,birds,seeds,birds
2479,The sniper took aim the terrorist,He was a ruthless combatant,He was a dangerous warmonger,He,terrorist,sniper,terrorist,sniper
2480,The sniper took out the terrorist,He was a brutal dealer,He was a winning assassin,He,terrorist,sniper,sniper,terrorist
2481,The sniper took out the terrorist,He was a brutal cyber criminal,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
2482,The people marched for their cause against the government,They were violating civil liberties,They were standing their ground,They,government,people,people,government
2483,The sniper executed the terrorist,He was a ruthless bomb maker,He was a notorious assassin,He,terrorist,sniper,terrorist,sniper
2484,The sniper neutralized the terrorist,He was a brutal arms dealer,He was a dangerous bomb maker,He,terrorist,sniper,terrorist,sniper
2485,The sniper neutralized the terrorist,He was a accurate marksman,He was a notorious war criminal,He,sniper,terrorist,terrorist,sniper
2486,The people organized a protest against the government,They were spreading hope,They were pushing for change,They,people,government,people,government
2487,The resourceful sniper targeted the terrorist,He was a top killer,He was a talented marksman,He,sniper,terrorist,sniper,terrorist
2488,The sniper assassinated the terrorist,He was a precise sharpshooter,He was a dangerous guy,He,sniper,terrorist,terrorist,sniper
2489,The precise sniper fired the terrorist,He was a notorious war criminal,He was a successful marksman,He,terrorist,sniper,sniper,terrorist
2490,The sniper neutralized the terrorist,He was a ruthless insurgent,He was a brutal criminal,He,terrorist,sniper,terrorist,sniper
2491,The sniper took down the terrorist,He was a notorious human rights abuser,He was a notorious guy,He,terrorist,sniper,terrorist,sniper
2492,The sniper eliminated the terrorist,He was a brutal cyber criminal,He was a brutal killer,He,terrorist,sniper,terrorist,sniper
2493,The sniper eliminated the terrorist,He was a accurate shooter,He was a notorious extremist,He,sniper,terrorist,terrorist,sniper
2494,The sniper took out the terrorist,He was a brutal militant,He was a winning marksman,He,terrorist,sniper,sniper,terrorist
2495,The sniper killed the terrorist,He was a dangerous drug lord,He was a notorious militant,He,terrorist,sniper,terrorist,sniper
2496,The precise sniper executed the terrorist,He was a successful shooter,He was a ruthless insurgent,He,sniper,terrorist,terrorist,sniper
2497,The sniper took out the terrorist,He was a notorious extremist,He was a notorious arms smuggler,He,terrorist,sniper,terrorist,sniper
2498,The sniper assassinated the terrorist,He was a precise killer,He was a notorious insurgent,He,sniper,terrorist,terrorist,sniper
2499,The sailors dropped off the boats,They were not securing themselves,They were ignoring the warnings,They,sailors,boats,sailors,boats
2500,The people blockaded the government building against the government,They were embezzling funds,They were violating civil liberties,They,government,people,government,people
2501,The sniper targeted the terrorist,He was a notorious warlord,He was a dangerous killer,He,terrorist,sniper,terrorist,sniper
2502,The people stood up against the government,They were blocking free speech,They were embezzling public funds,They,government,people,government,people
2503,The sniper took aim the terrorist,He was a precise killer,He was a ruthless murderer,He,sniper,terrorist,terrorist,sniper
2504,The sniper assassinated the terrorist,He was a notorious dictator,He was a notorious militant,He,terrorist,sniper,terrorist,sniper
2505,The sniper targeted the terrorist,He was a resourceful marksman,He was a notorious bomb maker,He,sniper,terrorist,terrorist,sniper
2506,The sniper eliminated the terrorist,He was a notorious extremist,He was a ruthless cyber criminal,He,terrorist,sniper,terrorist,sniper
2507,The students analyzed the books,They were containing valuable information,They were beautifully written,They,books,students,books,students
2508,The sniper fired the terrorist,He was a accurate sharpshooter,He was a notorious human trafficker,He,sniper,terrorist,terrorist,sniper
2509,The bee flew straight to the flower,It was finding pollen,It was gathering pollen,It,bee,flower,bee,flower
2510,The sniper neutralized the terrorist,He was a ruthless human rights violator,He was a ruthless bomb maker,He,terrorist,sniper,terrorist,sniper
2511,The storm devastated the international flight,It was producing tornadoes,It was headed for Europe,It,storm,flight,flight,storm
2512,The accurate sniper neutralized the terrorist,He was a successful killer,He was a dangerous criminal,He,sniper,terrorist,terrorist,sniper
2513,The winning sniper took aim the terrorist,He was a talented sharpshooter,He was a top marksman,He,sniper,terrorist,sniper,terrorist
2514,The sniper assassinated the terrorist,He was a notorious arms dealer,He was a dangerous guy,He,terrorist,sniper,terrorist,sniper
2515,The sniper took aim the terrorist,He was a winning assassin,He was a dangerous guy,He,sniper,terrorist,terrorist,sniper
2516,The sniper neutralized the terrorist,He was a dangerous murderer,He was a winning marksman,He,terrorist,sniper,sniper,terrorist
2517,The sniper killed the terrorist,He was a winning sharpshooter,He was a dangerous dealer,He,sniper,terrorist,terrorist,sniper
2518,The students created projects based on the books,They were discovering new information,They were filled with knowledge,They,students,books,books,students
2519,The sniper neutralized the terrorist,He was a precise assassin,He was a winning marksman,He,sniper,terrorist,sniper,terrorist
2520,The sniper eliminated the terrorist,He was a brutal militant,He was a dangerous launderer,He,terrorist,sniper,terrorist,sniper
2521,The persistent storm destroyed the flight,It was carrying essential supplies,It was putting travelers in danger,It,flight,storm,storm,flight
